Entity,Year,Maize,Rice,Yams,Wheat,Tomatoes,Tea,Sweet potatoes,Sunflower seed,Sugar cane,Soybeans,Rye,Potatoes,Oranges,"Peas, dry",Palm oil,Grapes,"Coffee, green",Cocoa beans,"Meat, chicken",Bananas,Avocados,Apples
Egypt,1961,1617130.0,1706.95,35017000.0,2468140.0,3959.0,70881.8,90.0,2500.0,3906700.0,13306727.0,2600.0,380000.0,11000.0,0.0,37000.0,1077266.9,3000.0,306000.0,124132.0,0.0,166660.0,467.0
Egypt,1962,2003690.0,1700.06,29091980.0,2622578.0,4350.0,64090.4,130.0,1350.0,3481130.0,14256264.0,1879.0,384000.0,154200.0,0.0,39000.0,1130326.9,3000.0,323000.0,129089.0,20000.0,186294.0,388.0
Egypt,1963,1867000.0,1702.77,37328180.0,3647713.0,4750.0,75800.2,140.0,3716.0,3213380.0,15219974.0,1621.0,388000.0,133700.0,0.0,39000.0,1270884.5,3000.0,203000.0,143419.0,20000.0,189922.0,1536.0
Egypt,1964,1934212.0,29465.0,33134172.0,4380982.0,4800.0,435585.0,190.0,2850.0,3270290.0,12740379.0,727.0,220021230.0,107900.0,0.0,40000.0,1153797.5,2996.67,323000.0,151988.0,20000.0,191528.0,632.0
Egypt,1965,2141000.0,30481.0,32318900.0,3800000.0,5000.0,435585.0,260.0,21400.0,3364825.0,15281824.0,2319.0,203342140.0,129300.0,0.0,41000.0,1197506.2,3016.96,318000.0,159909.0,17000.0,183952.0,1035.0
Egypt,1966,2376000.0,30990.0,35618420.0,4400000.0,5195.81,437485.0,130.0,11900.0,3150000.0,15269026.0,4224.0,220993310.0,100000.0,0.0,42000.0,90000.0,3041.01,370000.0,166892.0,13900.0,182281.0,1038.0
Egypt,1967,2167000.0,36578.0,43709800.0,4100000.0,5376.24,437485.0,193.33,25450.0,2970000.0,3100.0,4170.0,234261010.0,80000.0,0.0,45000.0,85000.0,3059.3,225000.0,173481.0,12200.0,175739.0,1178.0
Egypt,1968,2300000.0,36883.0,44103900.0,4262000.0,5678.3,435585.0,194.44,18360.0,2541000.0,3000.0,4800.0,214239740.0,70000.0,0.0,48000.0,90000.0,3078.58,338000.0,178451.0,8100.0,193413.0,1442.0
Egypt,1969,2368000.0,36900.0,48982620.0,3700000.0,5416.78,437485.0,172.59,14170.0,2700000.0,3150.0,4620.0,223000500.0,65000.0,0.0,46400.0,100000.0,3126.8,340000.0,189755.0,8100.0,193524.0,1379.0
Egypt,1970,2397000.0,20321.0,49519100.0,4546000.0,5365.12,437485.0,186.79,15550.0,2935000.0,3200.0,4875.0,236700220.0,65000.0,0.0,43500.0,83800.0,3200.0,362000.0,200749.0,16300.0,213570.0,4302.0
